,功效词根,亲友团
339,抗疟,清热、止咳、行气、消积、解热、破血、退热
340,补胃,益气血、杀虫、利水、解毒、清热、消肿、强筋骨
341,除温,解毒、活血、止痛、消肿、利水、止痒、通络
342,疗疳,止咳、化积、消肿、祛风、除湿、散瘀、杀虫
343,角毒,止咳、利湿、利尿、止痛、除湿、杀虫、止痒
344,脾胃,补益、固精、滋肾、清热、止痛、活血、止咳
345,玫毒,止痛、杀虫、散结、消肿、活血、止痒、通络
346,强身,延缓衰老、化痰、理气、补肾、接骨、补虚、止带
347,止疼,行气、调经、解毒、清热、祛风、止咳、除湿
348,利关节,祛风湿、解毒、活血、强筋骨、壮骨、除风湿、壮筋
349,清神,止痛、活血、行气、消痔、开窃
350,蠲痹,清热、祛风、止咳、利湿、舒筋、活络、益气
351,利肺,消肿、散瘀、利尿、化痰、理气、散结、和胃
352,开音,止痛、消肿、止血、止咳、凉血、解表、润肺
353,宁神,降压、解毒、活血、和胃、补虚、化湿、开胃
354,润肌,解毒、补血、补气、祛风、杀虫、消积、疗疮
355,托疮,解毒、利水、益气、止汗、消肿、利尿、止痒
356,清头目,散热、除烦渴、解毒、利尿、化痰、消食、透疹
357,除烦渴,清头目、利二便、解毒、利尿、化痰、健脾、消食
358,除疳,清热、利尿、健脾、通淋、解表、补肾、疏风
359,麻醉,活血、散瘀、止血、止咳、生肌、镇痛、解热
360,理肺,止咳、解毒、消肿、散瘀、化痰、平喘、接骨
361,清暑热,消肿、调经、祛风湿、健胃、补肺、利小便、清心
362,消斑,清热、凉血、祛风
363,除胀,行气、定痛、泻下、逐水、破瘀、解毒、活血
364,收敛固涩,止痛、活血、止血、止咳、除湿、杀虫、散结
365,袪风湿,解毒、消肿、消痈、通经络
366,中气,退热、和解、升提、解郁、理气
367,利膈,开胃、止痛、止咳、行气、消积、祛痰、滋阴
368,益脾,解毒、消肿、止血、散瘀、调经、润肺、补肾
369,催生,止痛、破血、开窍、醒神、散瘀、散结、舒筋
370,坠痰,镇惊、消食、敛疮、平肝、下气、攻积、止血
371,祛除,风湿、解毒、消肿、止血、除湿、温中、温肾
372,消翳,解毒、止血、敛疮、清肺、接骨、消炎、截疟
373,缓泻,解毒、止痛、祛风、化痰、止痒、燥湿、通便
374,败毒,止痛、清热、活血、散瘀、杀虫、通络、消痈
375,风湿,止痛、解毒、消肿、止血、温经、症瘕、皮肤病
376,抗菌,镇痛、镇静、清热、止痛、祛风、活血、除湿
377,利肝胆,凉血、清热毒、活血、安神、化瘀、清湿热、健脾胃
378,利温,清热、活血、止痛、消肿、祛风、止咳、理气
379,消种,活血、祛风、利湿、利水、健脾、消食、祛瘀
380,透表,解毒、除湿、凉血、疏风、疏肝、解郁、泄热
381,宽肠,解毒、除湿、利水、健脾、消积、敛疮、润肺
382,清肝火,解毒、清热、杀虫、理气、明目、止痒、通络
383,温寒,祛风、除湿、调经、补虚、补益肝肾、止泄、消瘕
384,通血脉,消肿、祛风、利水、健脾、润肺、和胃、止渴
385,定痫,祛风、止血、散寒、敛疮、滋阴、镇惊、温肾
386,舒经,止痛、消肿、祛风、除湿、清热、活血、散瘀
387,养颜,涩精、散结、和中、下气、泽发
388,消疮,解毒、止痛、消肿、祛风、止痒、止泻、收敛
389,去斑,止咳、行气、敛疮、温中、润肤、化骨鲠、去面
390,消瘰,清热、活血、化痰、调经、通络、舒筋、化瘀
391,祛邪,除湿、解毒、清热、止痛、祛风、利尿、健脾
392,宽胞,行气、止痒、开郁、利痰、清热、化痰、散结
393,救逆,散寒、助阳、补火、止痛、除湿
394,退目翳,利尿、止渴、散风、散热、利小便、清暑、解热毒
395,聪耳,平喘、补肾、安神、平肝、清肝、镇惊、潜阳
396,强壮筋骨,活血、除湿、解毒、解表、祛瘀、补肾、安神
397,通乳汁,补血、补气、利小便、润肤、行瘀、消肿毒、润肌
398,祛热,祛风、清热、利尿、消食、止渴、强筋、补肝
399,蚀腐,解毒、止血、止痒、消积、敛疮、截疟、软坚
400,补精,解毒、活血、温中、养血、通乳、填髓、固气
401,理湿,下气、定喘、清热、止痛、散瘀、健脾、行气
402,填髓,清热、散寒、解表、益气、润肺、补肾、温中
403,灭虱,解毒、消肿、止咳、润肺
404,和络,止痛、祛风、解毒、养血
405,暖肾,止血、敛疮、止泻、涩肠、壮阳、固精、益精
406,补虚劳,清热、止咳、止痛、祛风、止血、除湿、散瘀
407,固气,益肺、补心、活血、益气、补精、补心益肺
408,利二便,除烦渴、止渴、除烦、消肿毒、解酒毒、吐风、吐痰
409,去积,消肿、解毒、祛风、除湿、散瘀、杀虫、燥湿
410,痛经,消肿、利尿、散寒、祛瘀、破血、行血
411,清热毒,凉血、利肝胆
412,解肌,清热、除烦、理气、止泻、温中、生津、发表
413,安心,益气血、补脾、健脾胃、补心、定痫、解泾昌涌、和脾胃
414,通鼻窍,疏风、散寒、散风
415,乌须发,止泻、强筋骨、补肝肾、益精血
416,寒湿,舒筋、止痛、消肿、活血、活络、温肾、祛除
417,通利二便,清热、消肿、活血、散结、调经、敛疮、逐水
418,蚀恶肉,利水、止血、通便、攻毒、祛寒湿、消冷积
419,温通经脉,行气、散寒、解表、通阳、化气
420,除臭,杀虫、止呕、降逆、辟秽
421,清血,清热、止血、除湿、利尿
422,调和气血,
423,攻积,平肝、下气、坠痰、清热、止血、敛疮、泻火
424,收口,止血、祛风、止咳、除湿、利尿、益肺
425,除疟,消食、化积、退热
426,补阳,化痰、滋阴、益肾、益阴
427,心肾,解毒、清热、祛风、敛疮、通经、镇痛、定喘
428,退烧,消肿、止血、利尿、生肌、收敛、镇痛、疗疮
429,栽疟,祛风、散瘀、杀虫、理气、止痒、健胃、补虚
430,化食,止痛、祛风、止咳、除湿、散结、通络、消积
431,肺肾,解毒、消肿、活血、止血、利尿、益精、滋补
